Time (s),Thrust (N)
0,0
0.004,665.031
0.007,1338.87
0.009,1625.14
0.014,1497.42
0.02,2021.52
0.026,1572.29
0.042,1796.9
0.051,1730.84
0.062,1849.76
0.075,1788.1
0.083,1898.2
0.096,1832.14
0.104,1911.41
0.138,1955.45
0.144,2114.01
0.154,2008.31
0.176,2008.31
0.18,1964.26
0.207,1973.07
0.258,2025.92
0.325,1977.48
0.362,1937.84
0.399,1951.05
0.428,1933.43
0.44,1858.56
0.499,1695.61
0.527,1633.95
0.553,1523.85
0.564,1431.36
0.572,1114.26
0.581,665.031
0.587,409.589
0.595,220.209
0.604,96.892
0.615,26.425
0.633,39.638
0.652,0
