Time (s),Thrust (N)
0,0
0.04,1303.070672
0.08,1693.889798
0.12,1712.852521
0.16,1753.517111
0.2,1782.162245
0.24,1799.356996
0.28,1821.691916
0.32,1857.088745
0.36,1848.645443
0.4,1867.770788
0.44,1871.24008
0.48,1878.893647
0.52,1891.297598
0.56,1910.101128
0.6,1921.91772
0.64,1939.268812
0.68,1965.49444
0.72,1990.696071
0.76,2013.901322
0.8,2034.393483
0.84,2043.575574
0.88,2040.368026
0.92,2025.83935
0.96,2014.092461
1,2002.500093
1.04,1994.690338
1.08,1988.398389
1.12,1980.044643
1.16,1968.656516
1.2,1961.801656
1.24,1946.43249
1.28,1918.878539
1.32,1899.030593
1.36,1875.089926
1.4,1855.321612
1.44,1837.706102
1.48,1816.926428
1.52,1797.017698
1.56,1772.096721
1.6,1748.968409
1.64,1722.359792
1.68,1699.371653
1.72,1680.294399
1.76,1663.442171
1.8,760.099875
1.84,727.9266262
1.88,734.9172418
1.92,733.7660683
1.96,646.899146
2,327.0956084
