Time (s),Thrust (N)
0,223.6736279
0.004377,272.0674515
0.006989,410.216951
0.009714,558.049703
0.012172,822.5675428
0.014533,994.4955373
0.016969,1226.329498
0.019326,1355.73048
0.022287,1504.965307
0.024978,1576.676506
0.027036,1648.292948
0.02936,1671.868535
0.031985,1681.506613
0.034944,1681.797021
0.037158,1677.452038
0.039365,1667.614609
0.041969,1643.350148
0.044582,1625.048149
0.047223,1600.498165
0.049915,1587.480227
0.052075,1571.664282
0.054529,1562.996304
0.056911,1551.917027
0.060521,1546.558805
0.063001,1541.794423
0.064517,1540.239606
0.067044,1542.974659
0.069451,1547.915871
0.072601,1554.544717
0.075105,1557.635923
0.076965,1563.806347
0.079472,1569.321265
0.081975,1575.833539
0.08496,1578.993371
0.087208,1583.930987
0.089535,1586.951024
0.091977,1591.102428
0.094529,1594.970747
0.097218,1598.64202
0.099661,1600.794151
0.101962,1606.123831
0.104678,1609.969244
0.106903,1613.157935
0.109715,1616.005765
0.112365,1621.756394
0.114517,1626.067972
0.116986,1630.904889
0.119287,1632.856386
0.122219,1637.662845
0.12505,1641.62303
0.126922,1647.089421
0.12945,1649.767363
0.131931,1651.149107
0.13502,1649.206701
0.137284,1644.141621
0.139492,1641.197522
0.141971,1639.799109
0.144478,1640.306301
0.147204,1642.877125
0.149706,1645.487357
0.151927,1650.843547
0.154547,1655.471529
0.157073,1659.711006
0.160381,1660.195804
0.162961,1657.584199
0.164517,1655.410614
0.166969,1655.257765
0.169278,1656.384346
0.172586,1659.04568
0.175167,1661.124838
0.176915,1665.582657
0.179535,1667.684573
0.181965,1669.508446
0.184762,1669.406068
0.187209,1672.106828
0.189244,1680.653151
0.192044,1683.2211
0.194549,1683.223743
0.197206,1683.988536
0.199711,1686.212523
0.201965,1691.08535
0.204512,1695.309554
0.206983,1698.459866
0.209952,1700.477022
0.212217,1703.737687
0.214569,1702.658549
0.216983,1701.178206
0.219458,1700.512691
0.222158,1699.15122
0.225192,1698.693869
0.226798,1698.59424
0.229467,1697.812968
0.231965,1695.611724
0.234766,1694.665489
0.237211,1693.970467
0.239256,1694.769546
0.241974,1698.195792
0.244515,1701.991436
0.247298,1707.332429
0.249724,1711.158006
0.251977,1716.421993
0.254527,1720.275237
0.256964,1725.502511
0.260298,1727.859441
0.263092,1729.186246
0.264464,1730.421957
0.266961,1733.118843
0.26959,1734.34489
0.272526,1736.797662
0.275134,1738.643994
0.27696,1740.012554
0.279324,1740.84558
0.281993,1741.919383
0.284705,1742.545838
0.287218,1744.988714
0.289557,1745.235799
0.292006,1745.877985
0.294526,1746.690275
0.297214,1745.6199
0.299728,1746.015587
0.30203,1747.512509
0.304535,1748.330356
0.306971,1750.321427
0.309662,1750.85681
0.312222,1751.470865
0.314628,1751.919544
0.316904,1752.194627
0.319468,1752.244539
0.322206,1752.815419
0.325065,1753.033394
0.326954,1753.943133
0.329276,1754.527703
0.331966,1755.284476
0.334946,1755.640018
0.337368,1756.265597
0.339473,1756.492258
0.341918,1757.598326
0.344515,1758.481996
0.347207,1760.089563
0.349716,1761.039424
0.351979,1762.561414
0.354522,1763.192667
0.357037,1763.878491
0.360549,1764.7404
0.362738,1766.017202
0.364515,1766.903561
0.367018,1768.513957
0.369468,1768.995892
0.372576,1769.516897
0.375098,1769.58011
0.376962,1769.873144
0.37947,1769.73541
0.382057,1769.875816
0.384752,1770.116695
0.387148,1770.914689
0.389454,1771.571431
0.392023,1772.452975
0.394523,1772.945513
0.397199,1773.607241
0.399705,1774.019312
0.401949,1774.536921
0.404548,1775.205987
0.406968,1776.998449
0.409705,1778.128934
0.412237,1779.53865
0.414534,1780.226861
0.416967,1781.263669
0.419565,1781.892018
0.422213,1782.755329
0.425025,1783.316959
0.427041,1784.221156
0.429466,1784.885285
0.431922,1785.786986
0.434987,1785.997283
0.437157,1786.817423
0.439381,1787.318611
0.441974,1787.995571
0.444518,1788.446294
0.447228,1789.357549
0.449727,1789.768101
0.451971,1790.339923
0.454544,1790.49306
0.456915,1791.311738
